Age,Class_Time,Self_Study_Time,Fitness_Time,Sleep_Time,Social_Media_Time,TV_Time,Meals_Number,Weight_Change,Total_studying_time,Total_resting_time,Miss_ALL,Miss_BEING OUTSIDE,Miss_NOTHING,Miss_SCHOOL/WORK,Miss_SOCIALIZE,Miss_TRAVELLING,Residence_Delhi-NCR,Residence_Outside Delhi-NCR,Medium_Any Gadget,Medium_Laptop/Desktop,Medium_Smartphone,Medium_Tablet,Social_Media_Instagram,Social_Media_Others,Social_Media_Whatsapp,Social_Media_Youtube,rating,Health_issue,Stress_Busters_ART,Stress_Busters_EXERCISE,Stress_Busters_INDOOR ACTIVITIES,Stress_Busters_MUSIC,Stress_Busters_NO ACTIVITIES,Stress_Busters_ONLINE ACTIVITIES,Stress_Busters_OTHERS,Stress_Busters_READING,Stress_Busters_REST,Stress_Busters_SOCIALIZE,Stress_Busters_WORK,Stress_Busters_WRITING,Time_utilized,More_social_connection
20,4,3,0,6,2,0,3,2,7,8,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,3,2,1,6,5,0,3,1,5,12,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,0,4,0,6,1,0,1,1,4,8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20,2,2,1,6,4,0,3,0,4,11,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20,2,1,1,9,5,0,3,0,3,14,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25,3,4,1,8,2,1,3,0,7,12,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,0,1,1,8,5,3,3,1,2,14,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,1,0,1,7,3,1,2,0,2,12,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
25,3,0,0,8,3,0,3,0,3,11,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,4,1,0,8,3,0,3,2,5,11,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
